random_text,degree,data_points,coeffs,nth_root,text_decimal,text_hexa,coeffs_min_text,constant_nth_root,bisection_initial,secant_initial,newton_initial,x_coords,y_coords
omQCbEMRAo,13,"[(0.8673248135000969, 0.7313672430450211), (0.18986702433092106, 0.7762621224979271), (0.2977062769737059, 0.7733120349516135), (0.15966995982555, 0.8631250001737374), (0.5877189651757757, 0.9025541628751477), (0.1193432800677191, 0.10722051808648458), (0.18782138872772958, 0.2828536266058297), (0.5347493398758569, 0.12224098033262643), (0.34693249046786256, 0.8218857690601222), (0.05556968300340759, 0.2484657416259045), (0.4984657568350901, 0.9189035186756488), (0.12013307372132798, 0.6766461499002459), (0.7210265233755725, 0.7123263118410834), (0.9487978413090243, 0.36571556535655747)]","[17112856342.48321, -89759335882.9754, 206745101184.36407, -275203160522.05756, 234312078988.94156, -133245201181.3906, 51188619548.16308, -13064119407.755377, 2082968341.290854, -169064010.88940972, -1282447.9503435395, 1528286.8780970005, -117060.0853719519, 2826.2916519097703]",4.333333333333333,526199230334555261124975,0x6f6d514362454d52416f,"[17112856342.48321, -89759335882.9754, 206745101184.36407, -275203160522.05756, 234312078988.94156, -133245201181.3906, 51188619548.16308, -13064119407.755377, 2082968341.290854, -169064010.88940972, -1282447.9503435395, 1528286.8780970005, -117060.0853719519, -5.2619923033455524e+23]",6.2579874333696415,"[-6, 6]","[6, 7]",6,"(0.8673248135000969, 0.7313672430450211)","(0.18986702433092106, 0.7762621224979271)"
pXVtS6gu1D,9,"[(0.06317473303532639, 0.8374218578070043), (0.5191196672334575, 0.21569805939455788), (0.9778757175213935, 0.8989753149003736), (0.7162213111734343, 0.9049932157103172), (0.858495916648282, 0.027044412648223104), (0.3612690091136036, 0.6533940266722341), (0.6002828476620968, 0.5450540013385101), (0.7576144582562316, 0.7870900888743739), (0.2112565460861101, 0.8232894761941957), (0.31438182877975895, 0.21749715628486965)]","[146412.8730470665, -742322.0028600312, 1617457.730592675, -1976388.4016881615, 1481244.0907230482, -699068.1408493995, 204838.7670440505, -35158.294601306756, 3083.5740583706756, -95.53095549920889]",4.5,530534589255564393787716,0x70585674533667753144,"[146412.8730470665, -742322.0028600312, 1617457.730592675, -1976388.4016881615, 1481244.0907230482, -699068.1408493995, 204838.7670440505, -35158.294601306756, 3083.5740583706756, -5.305345892555644e+23]",-2.754431821232904,"[3, -3]","[-3, -2]",-3,"(0.06317473303532639, 0.8374218578070043)","(0.5191196672334575, 0.21569805939455788)"
CAg8Qtz4z2,7,"[(0.9225151453231636, 0.2349099191939612), (0.9262414963450212, 0.5048505656812353), (0.18294539998209347, 0.5978576835390287), (0.7373909973973806, 0.08439698449721422), (0.3828500428870244, 0.18348937295223433), (0.9529862506197134, 0.02685465688254396), (0.7802658633366745, 0.34687924130564096), (0.4006236489591929, 0.4516009103301406)]","[-509761.83631244703, 2225995.8257818385, -4029277.6064514844, 3897954.9809508505, -2162426.416751009, 682550.8267903106, -112409.00216793781, 7340.916600999672]",3.5,317605030501402660862514,0x4341673851747a347a32,"[-509761.83631244703, 2225995.8257818385, -4029277.6064514844, 3897954.9809508505, -2162426.416751009, 682550.8267903106, -112409.00216793781, -3.176050305014027e+23]",12.720379928961579,"[-13, 13]","[12, 13]",13,"(0.9225151453231636, 0.2349099191939612)","(0.9262414963450212, 0.5048505656812353)"
U8DOvu7qkN,7,"[(0.3126665795200557, 0.9869034315215336), (0.30026024427319875, 0.535386186134813), (0.3043309666066344, 0.6202337189599487), (0.5426358809484236, 0.583952043589891), (0.22548111484839617, 0.4630662319927268), (0.33845697024518073, 0.9092285408233379), (0.6046029928129364, 0.07604471704333837), (0.7950728898610261, 0.7760588756735797)]","[29560557.43330423, -91836371.79538696, 118445696.74938561, -82251936.02812383, 33243751.87291865, -7830851.888954887, 996990.9705367188, -52999.928698757416]",3.5,402439090995211130727246,0x5538444f767537716b4e,"[29560557.43330423, -91836371.79538696, 118445696.74938561, -82251936.02812383, 33243751.87291865, -7830851.888954887, 996990.9705367188, -4.0243909099521114e+23]",-22.376540237181878,"[22, -22]","[-23, -22]",-22,"(0.3126665795200557, 0.9869034315215336)","(0.30026024427319875, 0.535386186134813)"
Ui0kH0TuQz,1,"[(0.147119757736202, 0.5560024412165153), (0.35918822237833237, 0.08473999525144693)]","[-2.2222184083820897, 0.8829346750946168]",0.5,403341548133368087269754,0x5569306b48305475517a,"[-2.2222184083820897, -4.033415481333681e+23]",0.7795736404844364,"[-1, 1]","[0, 1]",1,"(0.147119757736202, 0.5560024412165153)","(0.35918822237833237, 0.08473999525144693)"
C7oEyluado,9,"[(0.9333035536645695, 0.059729580864331555), (0.8185570048210106, 0.05457891551971494), (0.4858018324594887, 0.6789600295320554), (0.6788761370857381, 0.04426790720348661), (0.6451847921367738, 0.8265584287626951), (0.42138589834364015, 0.7102606300462301), (0.13854841015959607, 0.0006384894267781327), (0.10442241836026867, 0.34423937779171154), (0.4752849477057285, 0.9088024109104363), (0.929404510519126, 0.6119193680549391)]","[1820871.1278601117, -9358555.586254058, 20642576.66132523, -25515338.805395406, 19344873.96793067, -9243153.950314613, 2747181.944951146, -480768.6414639729, 43906.01869933106, -1580.891320005586]",4.5,317421143224538590438511,0x43376f45796c7561646f,"[1820871.1278601117, -9358555.586254058, 20642576.66132523, -25515338.805395406, 19344873.96793067, -9243153.950314613, 2747181.944951146, -480768.6414639729, 43906.01869933106, -3.174211432245386e+23]",-5.138863883969759,"[5, -5]","[-6, -5]",-5,"(0.9333035536645695, 0.059729580864331555)","(0.8185570048210106, 0.05457891551971494)"
uPLkJRSELb,13,"[(0.36089741642583706, 0.07564967918360999), (0.4648332792870039, 0.3933219788706327), (0.0790753374310258, 0.538975915202773), (0.8668817529084928, 0.061249311524032235), (0.6271865061257373, 0.7457758347020161), (0.11487444665534075, 0.6172538522593114), (0.023052969392871048, 0.3783926532563323), (0.5972573414330837, 0.34669041377983334), (0.9962400842735027, 0.5222278695625877), (0.2202592697704645, 0.9412442350255273), (0.4414800347876703, 0.1850659162699615), (0.8903415894651924, 0.4872263934755241), (0.9612326728201531, 0.0417172987739185), (0.753707779942263, 0.09067178900091466)]","[-35095132.311573125, 241436755.85545346, -739980923.5554549, 1332264565.1858149, -1564140128.633445, 1256818044.077234, -705667464.697588, 277622791.38267905, -75581189.7557715, 13833992.677562315, -1618790.49670183, 111284.50419352332, -3850.3637858320103, 46.37762270368613]",4.333333333333333,553998124598332089519202,0x75504c6b4a5253454c62,"[-35095132.311573125, 241436755.85545346, -739980923.5554549, 1332264565.1858149, -1564140128.633445, 1256818044.077234, -705667464.697588, 277622791.38267905, -75581189.7557715, 13833992.677562315, -1618790.49670183, 111284.50419352332, -3850.3637858320103, -5.539981245983321e+23]",2.4240006216750936,"[-2, 2]","[2, 3]",2,"(0.36089741642583706, 0.07564967918360999)","(0.4648332792870039, 0.3933219788706327)"
BaK5xVQgKH,5,"[(0.37043387272850437, 0.1236449206303899), (0.29190270545396835, 0.13804497546084538), (0.4421453626590952, 0.34760852814760446), (0.555861622460299, 0.9725011576259475), (0.6750793230973974, 0.93663075523451), (0.1551836030746253, 0.767760779116051)]","[-253.50055042416955, 360.3940255061941, -191.73665269050105, 67.78248443588001, -19.117210763186904, 2.6324549137211273]",2.5,313470941414585149115208,0x42614b35785651674b48,"[-253.50055042416955, 360.3940255061941, -191.73665269050105, 67.78248443588001, -19.117210763186904, -3.134709414145851e+23]",1.4728020387960394,"[-1, 1]","[1, 2]",1,"(0.37043387272850437, 0.1236449206303899)","(0.29190270545396835, 0.13804497546084538)"
7ufQbsoRcb,5,"[(0.13785238515238518, 0.028134975769283033), (0.538247544229662, 0.2571993929287091), (0.8037879484322688, 0.7385345492381176), (0.7347612492042291, 0.921057911231522), (0.44578534308783, 0.779477311280316), (0.3143923852933539, 0.23261473814385858)]","[-1795.8718565714937, 4422.240811947367, -4088.6366190191775, 1743.5668412347754, -333.2760488140147, 22.0407525372051]",2.5,261895798396767414936418,0x3775665162736f526362,"[-1795.8718565714937, 4422.240811947367, -4088.6366190191775, 1743.5668412347754, -333.2760488140147, -2.6189579839676743e+23]",3.4458039731030095,"[-3, 3]","[3, 4]",3,"(0.13785238515238518, 0.028134975769283033)","(0.538247544229662, 0.2571993929287091)"
mVsN4myFgT,9,"[(0.09961182908903854, 0.3236875297292978), (0.7075641800586786, 0.46508982179237823), (0.8029506940922377, 0.27000677107953885), (0.38723025475328476, 0.10887472937725262), (0.2173429226194027, 0.3635941055659513), (0.18119350426001368, 0.9462621029938036), (0.24292699546241914, 0.0012356453549144941), (0.35279814798557685, 0.3293608903504288), (0.497489099395645, 0.4390808524470642), (0.23227671338916456, 0.9461963098434144)]","[564326503.9503274, -1968060597.8066716, 2919591301.836446, -2415396487.579185, 1227079911.3944566, -396623096.15018535, 81462630.08568594, -10232197.62634463, 710833.5030755263, -20685.944286963313]",4.5,516332675259137685612372,0x6d56734e346d79466754,"[564326503.9503274, -1968060597.8066716, 2919591301.836446, -2415396487.579185, 1227079911.3944566, -396623096.15018535, 81462630.08568594, -10232197.62634463, 710833.5030755263, -5.1633267525913766e+23]",-9.09994917726662,"[9, -9]","[-10, -9]",-9,"(0.09961182908903854, 0.3236875297292978)","(0.7075641800586786, 0.46508982179237823)"
qM2wFvgzLO,7,"[(0.9134669811629681, 0.6304990179609758), (0.970914782995137, 0.1481895996395577), (0.5011153743932686, 0.8182879084079172), (0.6104121695515187, 0.6792222878283583), (0.16713059657663154, 0.7715401141173778), (0.20759891688489707, 0.39251018480874933), (0.023503189977934658, 0.8607018774869685), (0.5084911884777793, 0.7136456993162683)]","[16414.888587415597, -56688.07857027283, 77261.04981959972, -52804.796835165704, 18991.583951580236, -3428.723365425878, 262.2173377321194, -3.6392176965432412]",3.5,535051448310644025740367,0x714d32774676677a4c4f,"[16414.888587415597, -56688.07857027283, 77261.04981959972, -52804.796835165704, 18991.583951580236, -3428.723365425878, 262.2173377321194, -5.3505144831064403e+23]",-1.4463986580402335,"[1, -1]","[-2, -1]",-1,"(0.9134669811629681, 0.6304990179609758)","(0.970914782995137, 0.1481895996395577)"
3usq6E7Kxk,5,"[(0.7003385907027599, 0.6352500129968622), (0.918414858555918, 0.5232419822064299), (0.8293838002565855, 0.4699014067337455), (0.250701675650568, 0.7088985300958865), (0.04443087269443424, 0.8908501071519261), (0.15334014250418204, 0.1874966731122184)]","[-161.7009997359147, 466.086027012341, -484.6433904850802, 213.84526603599954, -35.32017144405688, 2.0787239110087423]",2.5,243007278172633561790571,0x337573713645374b786b,"[-161.7009997359147, 466.086027012341, -484.6433904850802, 213.84526603599954, -35.32017144405688, -2.4300727817263357e+23]",1.3400429697789336,"[-1, 1]","[1, 2]",1,"(0.7003385907027599, 0.6352500129968622)","(0.918414858555918, 0.5232419822064299)"
6CTk7grQKs,3,"[(0.2401649706011909, 0.06234054096048569), (0.4586635847619247, 0.07151642227543087), (0.4051484247989183, 0.9920518183884056), (0.10537760161695686, 0.09327883239149648)]","[-351.216489894419, 283.2190454772346, -65.04722875929154, 4.213790384778217]",1.5,256249804944538514574195,0x3643546b376772514b73,"[-351.216489894419, 283.2190454772346, -65.04722875929154, -2.562498049445385e+23]",2.6088470515719893,"[-3, 3]","[2, 3]",3,"(0.2401649706011909, 0.06234054096048569)","(0.4586635847619247, 0.07151642227543087)"
0QPQghEQ5X,7,"[(0.423036371944847, 0.47151361259782665), (0.8064712540030197, 0.09677083393939978), (0.36445933109335904, 0.8415697488922672), (0.68682888165717, 0.1394101144094877), (0.5496933971171458, 0.5010662442949844), (0.8477017955965568, 0.3978298270591851), (0.8779088952225631, 0.6433864844969123), (0.484180095328946, 0.4851524440259829)]","[-12772.166876207513, 54280.55908339948, -98111.5308602911, 98089.4154695986, -58752.31782835047, 21120.186918577354, -4220.823917484515, 361.94717165383145]",3.5,228173564968407128946008,0x30515051676845513558,"[-12772.166876207513, 54280.55908339948, -98111.5308602911, 98089.4154695986, -58752.31782835047, 21120.186918577354, -4220.823917484515, -2.2817356496840714e+23]",5.3832119836263,"[-5, 5]","[5, 6]",5,"(0.423036371944847, 0.47151361259782665)","(0.8064712540030197, 0.09677083393939978)"
tAQOxd43oQ,11,"[(0.6286652991130688, 0.08021584810326399), (0.509157106958027, 0.07199298738605209), (0.8707420076042779, 0.9400497026465044), (0.9531600327251962, 0.28284625381811124), (0.5546585715436444, 0.9488000297665714), (0.10184292546739182, 0.6932764370168032), (0.650215491418531, 0.6753624880532688), (0.7039593146375585, 0.011543889336332769), (0.7874511769757989, 0.9422155508193636), (0.11694704767963682, 0.04252416568323947), (0.5265759885249476, 0.6195531889706641), (0.640168713686648, 0.6243332184693977)]","[-8497569499.055546, 54571063077.62805, -156137281429.11682, 262030910389.8479, -285598609291.16046, 211300617257.62543, -107600902251.43954, 37380942065.12765, -8572472223.622107, 1213562498.1334038, -93205085.47002697, 2911790.3876111675]",3.6666666666666665,548999409411681965797201,0x7441514f786434336f51,"[-8497569499.055546, 54571063077.62805, -156137281429.11682, 262030910389.8479, -285598609291.16046, 211300617257.62543, -107600902251.43954, 37380942065.12765, -8572472223.622107, 1213562498.1334038, -93205085.47002697, -5.4899940941168196e+23]",57.93656686459967,"[-58, 58]","[57, 58]",58,"(0.6286652991130688, 0.08021584810326399)","(0.509157106958027, 0.07199298738605209)"
xijVOgcWfD,9,"[(0.6777129275468121, 0.4999850934480068), (0.6580256658558135, 0.8111521925889049), (0.7192846346140495, 0.04071944708645436), (0.9569765890540249, 0.5125381250739319), (0.12642141903347415, 0.2051810976034213), (0.6099296232598294, 0.30105663912710534), (0.9923891470055576, 0.7050126116272808), (0.5922320263941512, 0.33000712426915835), (0.42708783623558333, 0.8273207026427851), (0.11324449607002807, 0.6706870022368343)]","[13178039.059562864, -68931330.64031383, 155026129.68391567, -195741402.2543789, 151843690.1240329, -74309198.77653508, 22616680.709613897, -4044607.4376006285, 375787.4152908486, -13760.946703716187]",4.5,568628548471218412938820,0x78696a564f6763576644,"[13178039.059562864, -68931330.64031383, 155026129.68391567, -195741402.2543789, 151843690.1240329, -74309198.77653508, 22616680.709613897, -4044607.4376006285, 375787.4152908486, -5.686285484712184e+23]",-8.31188689878821,"[8, -8]","[-9, -8]",-8,"(0.6777129275468121, 0.4999850934480068)","(0.6580256658558135, 0.8111521925889049)"
V9Wnr3t1uO,7,"[(0.05799603574067658, 0.16273584920317763), (0.4859304963959282, 0.44571681279633624), (0.7536427020137045, 0.7909626301814441), (0.29027147639473905, 0.08923806246045396), (0.11192458227907454, 0.734919245776235), (0.049426698069080954, 0.7979321541292125), (0.31511143622989835, 0.15781726824984488), (0.21587061952700926, 0.5171822471481691)]","[-388599.6479722108, 884668.9434821192, -796919.5507689677, 366703.97013371874, -92133.65081141324, 12399.134998596071, -804.4937504399214, 19.429299183152192]",3.5,407181282037484989019471,0x5639576e72337431754f,"[-388599.6479722108, 884668.9434821192, -796919.5507689677, 366703.97013371874, -92133.65081141324, 12399.134998596071, -804.4937504399214, -4.07181282037485e+23]",2.33415993476732,"[-2, 2]","[2, 3]",2,"(0.05799603574067658, 0.16273584920317763)","(0.4859304963959282, 0.44571681279633624)"
UTRrRl356y,9,"[(0.8760910286038216, 0.7288299980505207), (0.46750392086095616, 0.4849688439730472), (0.4572138119141288, 0.8220208630649414), (0.5021541500153841, 0.6496642355182336), (0.9892074443037154, 0.8078210911229157), (0.9055554881386957, 0.8009764266060402), (0.6942701444407396, 0.9811065899459194), (0.6395892185274216, 0.7738941417254981), (0.6274203633913691, 0.5500572565115837), (0.504153468888802, 0.06265435746267534)]","[-752885104.3649521, 4640940182.136917, -12596125414.484295, 19756175772.983963, -19733167359.507812, 13017313903.904957, -5671489711.274005, 1573845246.6674871, -252442248.3279526, 17834178.097250514]",4.5,402956618447594569676409,0x55545272526c33353679,"[-752885104.3649521, 4640940182.136917, -12596125414.484295, 19756175772.983963, -19733167359.507812, 13017313903.904957, -5671489711.274005, 1573845246.6674871, -252442248.3279526, -4.029566184475946e+23]",40.86858277033924,"[-41, 41]","[40, 41]",41,"(0.8760910286038216, 0.7288299980505207)","(0.46750392086095616, 0.4849688439730472)"
4WhNhiCj3t,7,"[(0.9238995204726207, 0.8392435140961882), (0.38977616210301946, 0.02400631272819187), (0.22911490406601498, 0.45033149340538714), (0.2301139118767127, 0.8195830308900387), (0.6750921872118341, 0.06833084407149748), (0.3983995273025538, 0.21200400786811946), (0.07977375370894058, 0.5807283262601792), (0.13959279774189526, 0.6081999910939403)]","[3366773.633326124, -9535209.725686133, 10648304.841222005, -6046433.808022968, 1874480.410099863, -314498.43366976967, 26169.874718182476, -824.4226944131736]",3.5,247175439903263721927540,0x3457684e6869436a3374,"[3366773.633326124, -9535209.725686133, 10648304.841222005, -6046433.808022968, 1874480.410099863, -314498.43366976967, 26169.874718182476, -2.4717543990326373e+23]",-6.810605059328909,"[7, -7]","[-7, -6]",-7,"(0.9238995204726207, 0.8392435140961882)","(0.38977616210301946, 0.02400631272819187)"
6ycFbKG64h,1,"[(0.9206623069000496, 0.3599857241924682), (0.44773369300541876, 0.8506121609142624)]","[-1.0374217636810332, 1.3151008383713663]",0.5,257246999621013278700648,0x36796346624b47363468,"[-1.0374217636810332, -2.572469996210133e+23]",1.7294902150850704,"[-2, 2]","[1, 2]",2,"(0.9206623069000496, 0.3599857241924682)","(0.44773369300541876, 0.8506121609142624)"
Bstci3IT8p,5,"[(0.4977674008428107, 0.7230874071585381), (0.9012114145757066, 0.136776168091562), (0.12381798998488736, 0.17752507112464344), (0.19074683138969906, 0.8958431709894311), (0.8372139623123541, 0.23937375829453433), (0.19955428325249647, 0.7127403596158768)]","[2730.668298748783, -7015.716301243083, 6532.240057549214, -2667.6447718985573, 462.8007267734188, -27.058431702515264]",2.5,313805950100473271040112,0x42737463693349543870,"[2730.668298748783, -7015.716301243083, 6532.240057549214, -2667.6447718985573, 462.8007267734188, -3.1380595010047325e+23]",-3.740425839991789,"[4, -4]","[-4, -3]",-4,"(0.4977674008428107, 0.7230874071585381)","(0.9012114145757066, 0.136776168091562)"
AFyiRgQFXe,9,"[(0.8446756097452623, 0.07764321735840529), (0.8004319348805918, 0.7221419983361301), (0.5943350862034552, 0.5912219210691948), (0.8162025275960746, 0.8005210521736184), (0.4661646860790297, 0.6498800638182266), (0.920655638160675, 0.8442207109670028), (0.24027389656257991, 0.37921763950924137), (0.12036117246917799, 0.039757830462619936), (0.27917489178771515, 0.13451339197623535), (0.8807204378330569, 0.11447993775606191)]","[-7077826.985536002, 36347939.83330738, -80300541.66486579, 99712636.5361112, -76287929.68422896, 37060771.82025589, -11349489.358140953, 2095207.2308363495, -209515.68061176623, 8528.084514610855]",4.5,308253842086041450076261,0x41467969526751465865,"[-7077826.985536002, 36347939.83330738, -80300541.66486579, 99712636.5361112, -76287929.68422896, 37060771.82025589, -11349489.358140953, 2095207.2308363495, -209515.68061176623, -3.082538420860414e+23]",7.473474458127741,"[-7, 7]","[7, 8]",7,"(0.8446756097452623, 0.07764321735840529)","(0.8004319348805918, 0.7221419983361301)"
iKuddk3bXA,7,"[(0.4629531221351101, 0.5917815654141327), (0.8719602571029433, 0.26978604041509047), (0.8493187022356204, 0.8234736622666898), (0.1886553161356458, 0.15302807398247265), (0.7196710159126217, 0.6940086641212128), (0.565018681707693, 0.08864024646923463), (0.01927345614757836, 0.9377556208847329), (0.32479075585226014, 0.3193574810331906)]","[4376.200630648166, -16426.946102009264, 24247.637252488057, -17923.57511876644, 6954.388074249493, -1337.429074970184, 102.04345357364836, -0.5795447503559732]",3.5,497240445503252658804801,0x694b7564646b33625841,"[4376.200630648166, -16426.946102009264, 24247.637252488057, -17923.57511876644, 6954.388074249493, -1337.429074970184, 102.04345357364836, -4.972404455032527e+23]",-0.8556783910672598,"[1, -1]","[-1, 0]",-1,"(0.4629531221351101, 0.5917815654141327)","(0.8719602571029433, 0.26978604041509047)"
rFXHSMCwn8,11,"[(0.20934375806832428, 0.9695089692887344), (0.5508507528317605, 0.2871445719521917), (0.047255811070556764, 0.9699281564181783), (0.096842031837159, 0.9126987265329327), (0.6020325839829692, 0.28091828616283077), (0.5225466454767344, 0.25410975472652686), (0.3217925510403301, 0.19469413811226066), (0.9553752230546847, 0.08062730367248483), (0.4394260080187723, 0.4261630074279349), (0.9605590385428493, 0.28661138274397846), (0.16888533534890715, 0.7897021782322311), (0.9893579836700016, 0.6991385386284995)]","[2256306.921479445, -12496693.477598604, 30060915.855466288, -41256320.271593876, 35692959.66740196, -20302042.14471207, 7682061.236677863, -1913047.5750830164, 303059.2407764399, -28583.684299768825, 1411.6627359968397, -25.951924060235843]",3.6666666666666665,539647412558364193287736,0x72465848534d43776e38,"[2256306.921479445, -12496693.477598604, 30060915.855466288, -41256320.271593876, 35692959.66740196, -20302042.14471207, 7682061.236677863, -1913047.5750830164, 303059.2407764399, -28583.684299768825, 1411.6627359968397, -5.396474125583642e+23]",-2.4304271485694215,"[2, -2]","[-3, -2]",-2,"(0.20934375806832428, 0.9695089692887344)","(0.5508507528317605, 0.2871445719521917)"
wMjbpqVXSJ,9,"[(0.7574143459595253, 0.7476234555273371), (0.8615561911288758, 0.7852195222214203), (0.9488004334958582, 0.6036129049023012), (0.9711594231751778, 0.8157125902542827), (0.6037679857878845, 0.5236757626637772), (0.519137177059455, 0.994155213107273), (0.688979045118976, 0.027523511353976904), (0.2649956924223369, 0.6287260601536614), (0.21866905651386948, 0.9939169668830041), (0.7078951473529307, 0.6210538165628751)]","[11591215.226768615, -67822545.69070694, 172867341.15531346, -251323922.94417864, 229039687.60810456, -135221955.84540555, 51502813.73738615, -12142695.802126959, 1599360.9651758228, -89278.36460947178]",4.5,563389676568311236154186,0x774d6a6270715658534a,"[11591215.226768615, -67822545.69070694, 172867341.15531346, -251323922.94417864, 229039687.60810456, -135221955.84540555, 51502813.73738615, -12142695.802126959, 1599360.9651758228, -5.6338967656831126e+23]",-12.594062031484587,"[13, -13]","[-13, -12]",-13,"(0.7574143459595253, 0.7476234555273371)","(0.8615561911288758, 0.7852195222214203)"
oUwR1ieCMc,1,"[(0.9601030816543992, 0.25120623149589694), (0.9993727564314248, 0.1896649914443015)]","[-1.5671441233223469, 1.7558261336942635]",0.5,525759250833763274542435,0x6f557752316965434d63,"[-1.5671441233223469, -5.2575925083376325e+23]",3.0829254117637457,"[-3, 3]","[3, 4]",3,"(0.9601030816543992, 0.25120623149589694)","(0.9993727564314248, 0.1896649914443015)"
qND99YnTT9,1,"[(0.22004552333029415, 0.47907179768668295), (0.08203062389451043, 0.537121394541313)]","[-0.42060384126599093, 0.57162379005279]",0.5,535071174625543771673657,0x714e443939596e545439,"[-0.42060384126599093, -5.350711746255438e+23]",0.3267537573543161,"[0, 0]","[0, 1]",0,"(0.22004552333029415, 0.47907179768668295)","(0.08203062389451043, 0.537121394541313)"
Wu26DF8jFG,9,"[(0.73092549441691, 0.7399962283852196), (0.6509949925910169, 0.47279967589320526), (0.02949603912582366, 0.007580950185477997), (0.5478648238687945, 0.9710710365614821), (0.4336579302910799, 0.43664421975399403), (0.3443180109401123, 0.3203664244467288), (0.46418321820506014, 0.9560288945184328), (0.5836485893368252, 0.8334029884603723), (0.9331199037357392, 0.1741353716982622), (0.1636883437334714, 0.6018657355251625)]","[-2493691.234932164, 11065429.313856466, -21041015.922057025, 22375086.959564447, -14541326.808711687, 5912757.933862384, -1473140.0474278857, 208851.32819074954, -14099.060385887891, 267.80851356002904]",4.5,413007771220702174791239,0x577532364446386a4647,"[-2493691.234932164, 11065429.313856466, -21041015.922057025, 22375086.959564447, -14541326.808711687, 5912757.933862384, -1473140.0474278857, 208851.32819074954, -14099.060385887891, -4.130077712207022e+23]",3.46351066015286,"[-3, 3]","[3, 4]",3,"(0.73092549441691, 0.7399962283852196)","(0.6509949925910169, 0.47279967589320526)"
FsIBIy0fHs,3,"[(0.19459931477078474, 0.6658624594376209), (0.9670119773046387, 0.44944458675159127), (0.8565614999216594, 0.7793240316797097), (0.840480467713838, 0.05085442689327957)]","[-584.5171652266778, 1175.5680543882925, -687.1148181707395, 94.1679333827273]",1.5,332692308231849846917235,0x46734942497930664873,"[-584.5171652266778, 1175.5680543882925, -687.1148181707395, -3.3269230823184984e+23]",20.698332520331135,"[-21, 21]","[20, 21]",21,"(0.19459931477078474, 0.6658624594376209)","(0.9670119773046387, 0.44944458675159127)"
hFLHw2zfhU,13,"[(0.2359466758464115, 0.47728733812962865), (0.5917242987982488, 0.1549687461040702), (0.04209182991868332, 0.8172843647872123), (0.4805546254481404, 0.9968801846481127), (0.07150957010946735, 0.43754080608225365), (0.05659528521635582, 0.7822177302904615), (0.0925155346937413, 0.5897680706000922), (0.16102823914401465, 0.1924061257203551), (0.6476720280680626, 0.3379766749397586), (0.17868114650005917, 0.4385038133614422), (0.9056555472302984, 0.28257356236156794), (0.24749801902605495, 0.5939986196992874), (0.6006588580806559, 0.8896133203212266), (0.30565043603876796, 0.8465026179674358)]","[20103191953.28087, -90059898438.93648, 177198456156.73666, -202135079893.35928, 148644231340.04672, -74143978463.56888, 25713169250.483078, -6254069822.6910715, 1062774290.9888616, -124132383.5812707, 9647925.658949556, -470727.2965340773, 12874.5797400087, -147.92786731668295]",4.333333333333333,492422883078006662129749,0x68464c4877327a666855,"[20103191953.28087, -90059898438.93648, 177198456156.73666, -202135079893.35928, 148644231340.04672, -74143978463.56888, 25713169250.483078, -6254069822.6910715, 1062774290.9888616, -124132383.5812707, 9647925.658949556, -470727.2965340773, 12874.5797400087, -4.924228830780067e+23]",-3.1679678704284737,"[3, -3]","[-4, -3]",-3,"(0.2359466758464115, 0.47728733812962865)","(0.5917242987982488, 0.1549687461040702)"
b5PZ3Nexn1,3,"[(0.44891126479207355, 0.2900498687553177), (0.00361735411567099, 0.5809281657064913), (0.6022111050309987, 0.27750578173924145), (0.24413576064672993, 0.13350676769359582)]","[-13.795244946333188, 15.504964318208419, -4.867049509532979, 0.5983317739181835]",1.5,463775382753814578228785,0x6235505a334e65786e31,"[-13.795244946333188, 15.504964318208419, -4.867049509532979, -4.6377538275381455e+23]",0.7100594486227301,"[-1, 1]","[0, 1]",1,"(0.44891126479207355, 0.2900498687553177)","(0.00361735411567099, 0.5809281657064913)"
tC8CTpVFFM,11,"[(0.9217580462239912, 0.7870618104319036), (0.041462352647274714, 0.11861587839791476), (0.2912212365788066, 0.5929651867318928), (0.8441886380719505, 0.27848012076424855), (0.11374750247363796, 0.9731169620347643), (0.08274265416486937, 0.03443909468985895), (0.3879282437196535, 0.5178325965495739), (0.92186421771627, 0.14143149825624846), (0.8304969624272517, 0.7099071641430448), (0.6943902359182565, 0.7922509598629006), (0.9166495291928585, 0.7352384311616065), (0.7050842612247673, 0.7707918925667959)]","[-16577813679.731127, 96640937620.20201, -245810158844.62335, 357557225529.0752, -327530012056.0585, 196104009262.08023, -77148926563.66826, 19561951282.344437, -3058662900.757422, 273534942.06313777, -12383595.97718087, 211940.41262596415]",3.6666666666666665,549034498042748408841805,0x7443384354705646464d,"[-16577813679.731127, 96640937620.20201, -245810158844.62335, 357557225529.0752, -327530012056.0585, 196104009262.08023, -77148926563.66826, 19561951282.344437, -3058662900.757422, 273534942.06313777, -12383595.97718087, -5.4903449804274844e+23]",28.353309393204725,"[-28, 28]","[28, 29]",28,"(0.9217580462239912, 0.7870618104319036)","(0.041462352647274714, 0.11861587839791476)"
